studentid,name,email,subject,score,exam_date
1054,Vikram,vikram1054@example.com,Science,76,2024-09-03
1055,Neha,neha1055@test.org,History,43,2025-06-02
1056,Anita,anita1056@example.com,Computer,61,2024-12-30
1057,Vikram,vikram1057@mail.com,English,89,2024-08-09
1058,Simran,simran1058@example.com,Math,44,2025-02-16
1059,Aman,aman1059@mail.com,History,94,2025-03-20
1060,Neha,neha1060@mail.com,History,51,2024-08-04
1061,Neha,neha1061@test.org,History,69,2024-07-26
1062,Anita,anita1062@example.com,Science,43,2025-01-29
1063,Aman,aman1063@example.com,Computer,90,2025-05-28
1064,Vikram,vikram1064@test.org,English,60,2025-05-18
1065,Priya,priya1065@example.com,Science,92,2025-03-17
1066,Raj,raj1066@example.com,Geography,65,2024-07-29
1067,Rita,rita1067@mail.com,English,52,2024-07-04
1068,Neha,neha1068@test.org,Science,91,2025-06-07
1069,Aman,aman1069@mail.com,Geography,40,2025-02-24
1070,Anita,anita1070@mail.com,Geography,55,2025-04-28
1071,Vikram,vikram1071@example.com,Computer,49,2025-04-08
1072,Aman,aman1072@test.org,Math,56,2025-03-29
1073,Rohit,rohit1073@example.com,Math,69,2025-03-22
1074,Rohit,rohit1074@mail.com,Science,100,2025-02-02
1075,Kiran,kiran1075@test.org,History,90,2025-05-31
1076,Aman,aman1076@example.com,Computer,54,2025-04-27
1077,Vikram,vikram1077@mail.com,History,82,2024-10-11
1078,Vikram,vikram1078@example.com,English,74,2024-10-26
1079,Aman,aman1079@example.com,Computer,54,2024-10-19
1080,Anita,anita1080@mail.com,English,87,2025-02-14
1081,Priya,priya1081@example.com,Geography,72,2025-01-22
1082,Simran,simran1082@test.org,English,80,2024-07-20
1083,Kiran,kiran1083@example.com,Geography,81,2025-05-02
1084,Aman,aman1084@test.org,English,44,2025-04-18
1085,Neha,neha1085@example.com,English,83,2025-01-29
1086,Rohit,rohit1086@mail.com,Geography,43,2024-09-02
1087,Rita,rita1087@test.org,Computer,52,2024-08-18
1088,Raj,raj1088@test.org,History,69,2025-04-11
1089,Vikram,vikram1089@mail.com,Geography,94,2025-01-11
1090,Aman,aman1090@example.com,Geography,75,2025-02-15
1091,Anita,anita1091@test.org,Science,41,2024-11-23
1092,Simran,simran1092@test.org,English,60,2025-05-18
1093,Aman,aman1093@test.org,Science,43,2025-02-19
1094,Vikram,vikram1094@test.org,Math,60,2025-07-01
1095,Simran,simran1095@test.org,Math,90,2024-08-04
1096,Anita,anita1096@example.com,Geography,40,2025-01-13
1097,Priya,priya1097@mail.com,Geography,69,2024-09-14
1098,Anita,anita1098@example.com,Science,71,2025-04-04
1099,Rohit,rohit1099@example.com,Geography,72,2024-08-06
1100,Kiran,kiran1100@mail.com,Science,81,2025-05-03
1101,Raj,raj1101@test.org,Computer,58,2025-05-25
1102,Anita,anita1102@example.com,Geography,97,2024-08-16
1103,Rohit,rohit1103@example.com,Computer,45,2025-02-09
1104,Kiran,kiran1104@mail.com,English,86,2025-06-23
1105,Rohit,rohit1105@test.org,Computer,85,2024-10-29
1106,Priya,priya1106@test.org,English,95,2025-06-25
1107,Aman,aman1107@example.com,Computer,42,2024-09-15
1108,Simran,simran1108@example.com,Science,59,2025-06-11
1109,Rohit,rohit1109@test.org,Geography,49,2024-08-23
1110,Priya,priya1110@test.org,Computer,87,2024-07-29
1111,Raj,raj1111@test.org,Computer,67,2025-05-30
1112,Neha,neha1112@example.com,English,95,2024-08-13
1113,Priya,priya1113@test.org,Computer,76,2024-11-13
1114,Neha,neha1114@mail.com,English,55,2025-03-27
1115,Anita,anita1115@mail.com,Geography,65,2025-04-14
1116,Simran,simran1116@test.org,Math,53,2024-07-08
1117,Kiran,kiran1117@mail.com,Science,96,2025-04-23
1118,Priya,priya1118@mail.com,English,61,2024-08-23
1119,Neha,neha1119@mail.com,History,63,2024-09-05
1120,Rohit,rohit1120@example.com,History,80,2025-03-20
1121,Rohit,rohit1121@mail.com,History,95,2025-02-13
1122,Raj,raj1122@test.org,History,76,2024-10-01
1123,Anita,anita1123@mail.com,English,56,2024-12-24
1124,Aman,aman1124@mail.com,History,90,2024-12-16
1125,Rita,rita1125@example.com,Science,60,2024-11-11
1126,Priya,priya1126@mail.com,English,90,2024-09-15
1127,Anita,anita1127@test.org,Science,40,2024-08-31
1128,Rohit,rohit1128@test.org,Geography,69,2025-01-05
1129,Simran,simran1129@test.org,Geography,48,2024-07-23
1130,Rita,rita1130@mail.com,Computer,44,2024-09-06
1131,Simran,simran1131@test.org,Computer,46,2025-03-10
1132,Vikram,vikram1132@test.org,Science,46,2024-08-04
1133,Kiran,kiran1133@test.org,Science,68,2025-03-12
1134,Neha,neha1134@test.org,History,41,2025-01-30
1135,Raj,raj1135@example.com,Computer,78,2025-04-30
1136,Anita,anita1136@mail.com,Math,67,2024-08-19
1137,Simran,simran1137@mail.com,Math,77,2024-10-06
1138,Kiran,kiran1138@example.com,History,40,2025-03-20
1139,Anita,anita1139@mail.com,History,71,2025-03-28
1140,Simran,simran1140@test.org,Math,83,2025-02-15
1141,Aman,aman1141@test.org,Math,89,2025-06-15
1142,Priya,priya1142@example.com,History,78,2025-02-19
1143,Simran,simran1143@test.org,History,77,2025-05-07
1144,Simran,simran1144@mail.com,Science,50,2024-09-20
1145,Priya,priya1145@example.com,Math,89,2024-08-03
1146,Rohit,rohit1146@example.com,Geography,100,2024-09-08
1147,Rohit,rohit1147@example.com,History,70,2024-12-30
1148,Priya,priya1148@mail.com,Science,100,2024-07-14
1149,Priya,priya1149@test.org,Science,95,2024-08-03
1150,Priya,priya1150@example.com,Geography,62,2024-08-18
